gene_ID	protein	rna	protein_degradation	rna_hl	translation
rna6276	3494	1719.4607849871	6.88915	0.029887227	13.9989759058
rna6287	3495	17349.4906569599	151478	0.0549496792	30514.7638318489
rna6292	3496	32238.1600415247	14029	0.0420280902	1521.3456331511
rna6313	3498	33678.4906436908	4.06906	0.0183219635	0.4226309317
rna6320	3499	6472.5644030746	16.9255	0.025967102	9.1497466556
rna6333	3501	9483.0754312351	45.2526	0.0537460508	16.7065372145
rna6335	3502	218603.164326576	101777	0.0253663634	1630.4569748475
rna6348	3504	13509.9520074793	0.406695	1.2170445311	0.1054821867
rna6350	3505	369565.991114711	551001	0.013792175	5225.7473669988
rna6352	3506	6370.123318464	8.51572	0.0313560751	4.6868973845
rna6365	3508	87797.8702452717	11.3445	0.0164956995	0.4532741613
rna6367	3509	1706655.01505105	465758	0.0190978889	957.6304569973
rna6370	3510	4562.3692178956	10.5653	0.000001	8.1282774867
rna6383	3511	213069.842245345	30.0582	0.0239518194	0.4953039768
rna6398	3514	4938.7131233259	26.4329	0.0386297085	18.8075736089
rna6412	3516	954578.486709891	51.4241	0.0244878975	0.1894104446
rna6426	3518	768601.674553854	26.5074	0.0148592722	0.1213281681
rna6443	3520	12478.563939712	25576	0.0203292915	7214.573763051
rna6450	3521	12682.2602624986	28.3528	0.0211919268	7.8716417053
rna6456	3522	40751.7820534702	48.4427	0.096872006	4.1866927237
rna6457	3523	370791.334896941	55.5744	0.0146027513	0.5280290901
rna6458	3524	2363.9654486048	64.2144	0.018048561	95.7254031498
rna6460	3525	47076.2403350089	42.2727	0.012452626	3.1653179277
rna6461	3526	14113.1439365727	48.1718	0.0220596508	12.0351473466
rna6482	3528	2531.7138759478	8.13207	0.0411318108	11.3322217145
rna6491	3529	53089.0084579808	45.8735	0.0228299475	3.0493615572
rna6492	3530	308753.277185226	44.1423	0.019537806	0.504682316
rna6495	3531	121928.338732028	193823	0.0250838905	5613.0430391916
rna6498	3532	1191.7120981604	12.0074	0.0379388586	35.5875692338
rna6501	3533	33145.9317002052	6.5216	0.049301522	0.6951324527
rna6518	3538	956327.96753288	609025	0.0165984165	2253.1291807336
rna6527	3539	3286.5369035854	9.0452	0.0661164139	9.7400284065
rna6531	3540	1383.787777483	25.0293	0.029547835	64.0298486818
rna6540	3541	32874.654709486	86.4222	0.0585205177	9.3087216552
rna6561	3543	122149.348585068	16.7829	0.018683774	0.4867960033
rna6572	3544	6670.9445420331	21.6806	0.0223586677	11.5180160644
rna6577	3546	21305.5168676756	40.2908	0.0312473812	6.7058301231
rna6578	3547	14282.7737511172	108227	0.0606438036	26877.2141664691
rna6599	3548	25685.0440249409	47.0404	0.1266266252	6.4979191407
rna6612	3549	624642.153452832	68.6104	0.0147121282	0.3898204888
rna6647	3550	198973.826861295	49.1874	0.0147407464	0.8775790904
rna6662	3551	2001.2292993794	78.5049	0.1094414114	139.2998293531
rna6671	3552	208356.884120362	40.1319	0.0105058157	0.6841555027
rna6672	3553	12881.5739264462	147956	0.136742328	40809.2730749889
rna6675	3554	466400.583463822	64.7386	0.0102839244	0.4933119566
rna6681	3556	209203.59888686	167569	0.0217156253	2848.3036007533
rna6702	3557	1927.7873881739	0.100978	0.0350278842	0.1863165763
rna6708	3558	8389.3636968969	13.9507	0.0362950364	5.9166096969
rna6728	3560	303979.978384026	103857	0.0203159109	1216.3002378167
rna6734	3561	4934.4049203362	1.67929	0.030165801	1.2118891308
rna6740	3562	7195.9453419411	35.3253	0.0225556778	17.486058137
rna6785	3567	5559.2712836106	15621	0.027376061	10022.9156228209
rna6810	3570	111507.970441572	31.2872	0.0082990932	1.0016800015
rna6815	3572	2309.8317186856	5.57427	0.0223943843	8.6202350929
rna6846	3576	230252.599549166	102513	0.0214101867	1592.1057513261
rna6860	3577	53008.3030376365	16.0555	0.0226654176	1.0834250525
rna6871	3579	624668.962840001	66.9695	0.0132463331	0.3836973737
rna6874	3580	43031.6580513926	20.8226	0.0294534616	1.7323271139
rna6881	3581	30496.0080538736	16.0131	0.0218491239	1.8803415515
rna6890	3582	63407.6203787065	511.44	0.0280074692	28.8920806215
rna6893	3583	27713.2988902094	30.5835	0.0206240937	3.9540828731
rna6903	3585	189754.708708361	637017	0.0096606292	12035.0422951026
rna6919	3586	30957.6343888695	38.8376	0.0459377545	4.4987815235
rna6921	3587	78350.1816427099	22.2457	0.0163304441	1.0184446829
rna6922	3588	2919672.27541151	467946	0.0115940263	575.0612019506
rna6933	3589	3052.0743054006	25.3806	0.017668718	29.845594925
rna6937	3590	7799.2949075314	4.72473	0.0251251783	2.174783862
rna6946	3591	30921.293528565	34.3875	0.0234952454	3.9935429087
rna6958	3592	137424.519258076	51.7844	0.0179579351	1.3535398618
rna6959	3593	51367.8022084985	44.2406	0.032733551	3.0944768701
rna6970	3594	27799.959078795	47921	0.0157106179	6195.2635797716
rna6973	3595	10364.5932949903	28.2565	0.0274084226	9.8008782987
rna6984	3596	517545.104487526	105747	0.016000423	734.7498965845
rna6985	3597	560271.065405849	172402	0.0090759764	1106.8392288843
rna6997	3600	27138.3273422394	18.4138	0.0119905709	2.4426590174
rna6998	3601	1867.4475266856	7.59367	0.0273565966	14.6428776601
rna7006	3603	1592.5992382169	7.20775	0.0346940017	16.3063767876
rna7041	3605	42945.0246898624	42.5536	0.0787805392	3.5721420376
rna7042	3606	622503.23592944	155995	0.0176718866	903.6386279344
rna7044	3607	1109139.30885447	96.4824	0.0303906465	0.3137676341
rna7049	3608	26754.4932794616	50203	0.132585037	6770.1683641696
rna7050	3609	6977.3719449807	161127	0.0628617075	83341.8868286531
rna7053	3610	208739.172305042	155894	0.021558345	2696.0791967575
rna7054	3611	3652.7048050761	15.2374	0.0479074334	15.0634267854
rna7055	3612	853343.558795493	124706	0.0153519362	527.8507904083
rna7056	3613	4305.2552310167	11.8112	0.0366576771	9.9120408222
rna7058	3614	26909.8185334315	5.54584	0.0214725611	0.7448086554
rna7066	3616	24576.4617438634	99.6419	0.0440899189	14.6605770251
rna7073	3618	12123.9628705325	47.0415	0.0253220166	14.0379963893
rna7076	3619	1151666.21231779	1674.29	0.0101824823	5.2612948484
rna7077	3620	93135.0859476296	40.9274	0.016239974	1.5907773799
rna7087	3621	2793.4126269987	10.6376	0.0221882331	13.7891370676
rna7091	3622	7972.5830044828	75.6023	0.0316252265	34.346651574
rna7092	3623	450611.542948474	506661	0.1067628736	4073.6479828922
rna7094	3624	28667.68771578	27.0267	0.0190802459	3.4165560115
rna7096	3625	31330.344564671	62.8147	0.0733551622	7.2678194467
rna7097	3626	13205.0330788277	45711	0.0535583812	12551.8872244063
rna7102	3627	11661.111724426	71.1939	0.0122949792	22.143709914
rna7106	3628	11182.8466134482	9.94774	0.0176426643	3.2272999861
rna7108	3629	10644.4355751846	4.47215	0.0231889059	1.5246869818
rna7126	3630	40196.9223286186	11.5339	0.0142971089	1.0415736971
rna7134	3631	13258.6147401854	3.94693	0.0186814856	1.0809049898
rna7140	3632	158008.787641705	65.6158	0.0205653831	1.5082489345
rna7149	3633	106985.593534632	65.5687	0.0137515759	2.2265716274
rna7150	3634	1513945.22836731	1016.37	0.0172328883	2.4396447842
rna7155	3635	2192.9812258703	11.5819	0.0094757738	19.197704934
rna7165	3636	34119.2582581881	4.45971	0.0434910322	0.4752596155
rna7176	3637	38717.6847268939	34.8467	0.0187041427	3.2733736223
rna7181	3638	163827.387526803	26.1492	0.0165993587	0.5806769615
rna7203	3640	25000.1906738579	48.3519	0.0178529644	7.0399829464
rna7212	3642	2724.7360193639	24.3406	0.0700324691	32.5346986167
rna7215	3643	45722.8998879474	52.2936	0.0252858075	4.1665245482
rna7224	3645	70198.9046408304	13.1868	0.0142342747	0.6847099146
rna7236	3647	17884.1618308033	23015	0.0197433947	4693.2982263352
rna7265	3648	26145.7610274789	62.6664	0.0186273743	8.7435598818
rna7275	3649	96873.8379074362	33.3095	0.0213270332	1.254687211
rna7276	3650	104271.123766677	38.6683	0.0170949896	1.3535798781
rna7307	3652	10595.5037614392	6.92499	0.0819969582	2.3868674911
rna7314	3653	377207.571773076	116768	0.0186922341	1130.8190394879
rna7328	3654	259176.281531961	152971	0.0652090267	2156.6635291473
rna7352	3655	701186.240942807	102158	0.0275895586	532.5082955107
rna7353	3656	1061684.40639085	338505	0.017531665	1165.6705820961
rna7358	3657	10708.9538565282	11.2035	0.0227801413	3.8258825324
rna7359	3658	143355.681283703	69.2309	0.0247003207	1.7665615337
rna7364	3659	53878.0291107874	15.5726	0.0177917984	1.0575766104
rna7402	3661	566692.605979346	90886	0.0164900035	587.1501454037
rna7424	3663	26328.6021804048	19.7093	0.0371757409	2.7420812319
rna7429	3664	10712.2319647751	3.36457	0.0250072817	1.1508138099
rna7437	3666	1115736.89732894	62988	0.0092065962	206.9609856524
rna7444	3668	6391745.81602703	11.5308	0.0140529913	0.006617124
rna7457	3670	25799.2133709405	6.82985	0.0201089132	0.9715625488
rna7459	3671	17294.3518666312	6.25656	0.0257697686	1.3280539182
rna7471	3673	18416.4460746314	12.5395	0.0212584321	2.5008942178
rna7476	3674	7927.9920880191	14.5488	0.0484843589	6.7422230757
rna7478	3675	158.4191650655	2.9407	0.0306307883	68.2182139739
rna7480	3676	17755.1149570839	84.0859	0.0262463676	17.4090547511
rna7482	3677	180960.538269899	25.0855	0.0164030293	0.5097209833
rna7484	3678	1748416.84844196	753774	0.0278385321	1585.6520568711
rna7499	3680	373010.188883896	89.4672	0.0143081185	0.8826549671
rna7518	3681	112438.873008592	30.4396	0.0264416831	0.996525175
rna7543	3684	1057616.16238491	47.0912	0.0190064243	0.1640330273
rna7551	3686	163274.494737134	378083	0.2519746131	8535.4049953954
rna7585	3688	126634.367113429	24.4248	0.0126898188	0.7113287211
rna7613	3690	2238.3920799344	10.2572	0.0304670427	16.9090430311
rna7618	3691	6189.5196872696	2.92641	0.0273229943	1.7451078364
rna7624	3692	306832.133586848	29.0778	0.0155156023	0.3498826422
rna7629	3693	36986.1829945365	7.96184	0.0177270565	0.7949745754
rna7641	3694	1030605.48849011	703272	0.0152377056	2520.738339756
rna7653	3696	9881.7170907276	6.07823	0.0357325342	2.2734042954
rna7660	3697	122425.787255938	42.7214	0.0297872595	1.2900959785
rna7665	3698	634294.101996736	76.7707	0.0213443751	0.4475810948
rna7667	3699	57596.252108744	33.2032	0.0208981906	2.1324067505
rna7669	3700	426.7199169913	6.71157	0.035104917	58.1946330865
rna7696	3701	34369.0789604605	46.8873	0.0332560516	5.0490121513
rna7726	3704	16716.2463687224	12.2805	0.0197347443	2.7211235702
rna7732	3705	1654.8944451794	1.82764	0.0262337131	4.0917450776
rna7737	3706	622025.751746326	339145	0.0313843915	2020.6098645777
rna7744	3709	2359.2019844741	26.4578	0.0431294204	41.5954127056
rna7762	3710	1095.8433665787	30.6329	0.1024862812	103.7083058273
rna7763	3711	257036.543885117	56.2536	0.0152250883	0.8121689875
rna7769	3712	96197.2356676742	51788	0.0197034373	1998.3636189309
rna7771	3713	10686.9625872645	11.3872	0.0240671954	3.9562853575
rna7773	3716	41523.4064661284	65.8574	0.0415123767	5.8936903117
rna7796	3718	20206.7783083072	11.5551	0.0120293976	2.126111404
rna7803	3719	48892.7866994032	18.9219	0.0285286846	1.4392827828
rna7809	3721	94198.5235300181	27.1968	0.018979004	1.07431931
rna7812	3722	85786.9151981177	22.1616	0.0222382278	0.9615158094
rna7828	3723	1385.8710241358	9.75441	0.0841123073	26.2042194386
rna7873	3726	94692.8832850574	35.5235	0.011531189	1.3977878422
rna7881	3727	60066.2068729062	26.5009	0.023296362	1.6443331358
rna7883	3728	1666.6257535738	12.7838	0.0236642266	28.5955057983
rna7891	3730	55677.2282081628	90.6745	0.0217057713	6.074581941
rna7900	3732	508243.42489398	43.7183	0.0138751861	0.32102077
rna7902	3733	65347.4847231463	100632	0.0180722232	5748.641399
rna7909	3734	104681.035271752	118687	0.0083540417	4233.5964374971
rna7912	3736	1018404.53333412	288236	0.0116822459	1057.3889458981
rna7917	3737	2134064.76807379	1437.26	0.0122796918	2.5168123762
rna7930	3738	434210.147968435	1449.61	0.0118824246	12.4793080156
rna7940	3739	3609.0902342107	15.0221	0.0292368904	15.5628228321
rna7962	3740	43003.2730888582	23.0329	0.0435038751	2.0031741729
rna7973	3742	51846.2305957765	29.5959	0.0156946396	2.1360831159
rna7988	685	154402.033972791	4.40055	0.0098327888	0.0195229083
rna7990	3743	1097218.28042292	74951	0.0192363551	255.6843957174
rna8005	3745	2418.9163887893	24279	0.0135520727	37589.0855183758
rna8010	3746	369215.646172454	46.4679	0.0093788567	0.4714555171
rna8011	3747	16083.0458032413	32.0494	0.0530304825	7.4668133928
rna8015	3748	142583.667055922	70.6381	0.0574638117	1.8568157508
rna8016	3749	20080.3304801879	110.77	0.0082076845	20.680771684
rna8019	3751	6013.3194297838	44.6126	0.076063676	27.8285337332
rna8031	3752	65024.8973771428	75524	0.0503195466	4357.8084615264
rna8032	3753	175120.399387047	180979	0.0310491732	3878.55549312
rna8037	3754	1169650.78624389	230531	0.0140290199	739.89038795
rna8046	3755	3169.8971938481	2.19635	0.0175543799	2.6017544878
rna8055	3756	27804.0019792184	39.4198	0.0388578701	5.325160346
rna8060	3758	38934.9705512667	15.6555	0.0198361636	1.5110675099
rna8082	3759	173870.835073363	74.2728	0.0191625474	1.605740578
rna8085	3760	18934.0738113057	26.9444	0.0313668864	5.3507208755
rna8089	3761	20706.4099079926	26.1281	0.0249173213	4.7457663852
rna8096	3762	391975.568802191	29279	0.0254039876	281.0062839799
rna8097	3763	83466.4308051843	20.4382	0.0211598157	0.9214356701
rna8106	3764	6665.6640807582	15308	0.032377879	8644.1967824827
rna8135	3768	24337.5056571312	17483	0.0484296066	2706.766458653
rna8140	3770	90235.4717516089	70.0107	0.0323856033	2.9250175555
rna8153	3773	80776.4780006858	78.7097	0.0156307685	3.6764625724
rna8154	3774	226360.522134942	29.6372	0.022099996	0.4941267662
rna8166	3776	4109.1963889048	25955	0.0229844033	23850.4249309246
rna8172	3777	16290.2609488608	19.5379	0.0255254623	4.529985648
rna8185	3779	629091.658469847	183735	0.0160371117	1103.7096989791
rna8193	3780	112179.123054984	45689	0.0284908243	1539.5415412131
rna8200	3782	326111.992267513	42.6007	0.0190844059	0.4940506673
rna8201	3783	91581.4054986365	68.0933	0.0146520169	2.812764802
rna8205	3784	753930.010149134	197097	0.0163135483	989.2364516071
rna8206	3785	24624.9819232828	34.6585	0.0196039788	5.3272088852
rna8267	3790	267693.244542226	29.7034	0.0179752548	0.4205406311
rna8270	3791	2891.6830809738	9.74902	0.0711979418	12.7809769553
rna8293	3792	7807.6043256999	51.7952	0.0370536409	25.1559108539
rna8302	3793	29835.4433148342	31.5158	0.023067567	4.0066248769
rna8315	3794	21805.1910363042	24.6585	0.0211562123	4.2904622502
rna8317	3795	28900.9472585855	11.5782	0.0179137886	1.5203400984
rna8352	3797	604576.596969089	117561	0.0102136543	738.3334373805
rna8412	3800	6953.06293628	24.1529	0.064409611	13.2000847455
rna8417	3801	39934.7783591921	17.9583	0.014775162	1.7092744997
rna8425	3802	13577.4688836174	9.10062	0.0342736322	2.5483805219
rna8427	3803	2638369.65682471	229289	0.0106731752	330.5018554714
rna8428	3804	408681.66120017	65.4664	0.0149325525	0.6093598251
rna8443	3805	730535.665868429	72.5844	0.0161900338	0.3780563426
rna8445	3807	15681.9544870028	28.1423	0.0195500226	6.8319121949
rna8447	3808	184268.714509098	61494	0.0264009237	1270.8025484621
rna8450	3809	37629.4435014898	31.2717	0.0443524996	3.165444243
rna8451	3810	525703.925795285	31.2828	0.015426636	0.2267197602
rna8455	3811	17341.9113255697	20.3768	0.0129481328	4.4779369092
rna8492	3814	8988.1959114424	12.3147	0.0370251691	5.2255498504
rna8495	3815	26702.9219932881	48.9646	0.0412016308	6.9954871998
rna8498	3816	99663.0826539495	174334	0.0417444025	6675.0749252852
rna8512	3819	58316.4699339287	21.8928	0.0429562497	1.4337048058
rna8525	3821	159105.015135003	554391	0.0166738848	13314.0241318136
rna8529	3823	5105.3890481604	11.6995	0.024367985	8.7607796542
rna8533	3825	9733.8399656617	21.6173	0.0192266185	8.4947125484
rna8534	3826	28102.6922698888	19.2393	0.0221811707	2.6193064029
rna8535	3827	380407.051899531	28.3579	0.0167172365	0.2852883057
rna8539	3828	238438.661500174	33568	0.0145607395	538.9155566951
rna8578	3829	58167.8053119639	26.8327	0.0117994339	1.7663105518
rna8602	3830	14361.9890781873	40.5402	0.0305057643	10.8111045869
rna8604	3831	138265.356743245	9.4044	0.0175140232	0.2605732719
rna8606	3832	93478.2428367472	6.5526	0.0131207644	0.2686139837
rna8613	3833	59201.8289419538	8.00849	0.0194428539	0.5185066529
rna8622	3834	32665.3442808163	55.0059	0.0278223311	6.456157902
rna8631	3836	37966.7999262899	7.64017	0.0221199905	0.7719294799
rna8645	3837	133876.217075398	23194	0.0211968328	664.7586848819
rna8653	3838	111338.520366946	70.1371	0.0219047751	2.4177273859
rna8663	3839	1369.3241921326	5.63428	0.0182477517	15.796113911
rna8682	3841	82420.0560159913	13.9213	0.0172442755	0.6487706498
rna8688	3842	31599.6045635057	52.7543	0.1496940162	6.4140682581
rna8689	3843	12199397.6101315	1639.68	0.0316922632	0.516524704
rna8695	3845	42206.5580687488	17.8518	0.0359630836	1.6262916035
rna8715	3847	27287.1463173408	15.3575	0.035030028	2.1651330562
rna8736	3848	13752.3340882211	48.7679	0.0227288216	13.6456021208
rna8749	3849	12171.2001453646	10.9805	0.018559073	3.4724549753
rna8773	3850	308340.876425654	64.8097	0.0187110383	0.8092256463
rna8780	3851	4828.9804347428	4.66687	0.0369066045	3.7217206847
rna8788	3852	26279.6822248288	13.8565	0.0273552908	2.0310457921
rna8789	3853	252038.087053598	287689	0.0525087099	4398.0087690646
rna8799	3854	55607.6848915844	62.4544	0.0450575923	4.3285250603
rna8806	3855	71928.620646575	6.12643	0.0138436858	0.3283447873
rna8811	3857	22617.7425680324	11.2798	0.0117471876	1.9235424786
rna8812	3856	16633.930004287	33.1523	0.1701145195	7.6852114183
rna8826	3858	3188171.96883347	406287	0.0111011184	491.6470194591
rna8852	3859	11892.3947106079	12.4429	0.031064578	4.0376351667
rna8856	3860	9478.5735053764	7.71625	0.0605743602	3.1423214667
rna8857	3861	15030.3308057615	73.2853	0.0453068419	18.8255699064
rna8876	3863	860.3606906045	16.0263	0.0276582712	71.9577237501
rna8886	3866	556008.589741548	191563	0.0130348563	1331.9624402642
rna8922	3867	4207.2085480868	21838	0.1447508326	20072.1083908243
rna8926	3868	41659.1266101846	49.1078	0.2305698174	4.5596004011
rna8930	3869	197642.696815909	81.9861	0.0172084704	1.6049377286
rna8938	3870	20992.3097579664	7.76212	0.0171973967	1.4309718533
rna8958	3875	4271262.41059381	455088	0.011127343	412.867632676
rna8963	3876	101787.872908676	63.9996	0.0274307803	2.4370530841
rna8966	3877	1929.9158306212	25.9994	0.0217511307	52.2300880695
rna8970	3878	98383.0899919794	58.6985	0.0162514156	2.3137389059
rna8985	3879	574129.736056984	70.6461	0.0151521047	0.4773071393
rna8996	3880	4055.464415536	22.2573	0.0922633082	21.2943118596
rna9012	3881	96431.0922554726	46.0247	0.0680613121	1.8523264284
rna9013	3882	489486.705016946	54.8186	0.015886541	0.4347529831
rna9014	3883	90441.8368662194	52.7744	0.0442660715	2.2657986868
rna9015	3884	12014.1098493786	31.9587	0.0398579265	10.3318175342
rna9016	3885	247834.262560538	53.7811	0.024841819	0.8430616951
rna9027	3886	1656943.79922105	381452	0.0216278445	894.6124018792
rna9062	3888	10813.8989288146	25.0664	0.0257566244	9.0123057226
rna9084	3890	3170.2418655603	10.2128	0.0166850622	12.5314703687
rna9088	3894	223494.290189981	54.3199	0.0200882119	0.9464299532
rna9094	3895	18936.2146240159	166705	0.1714533532	34289.6396081455
rna9101	3896	28187.7560181856	8.49422	0.0224584218	1.1740374473
rna9124	3899	584080.259846521	353691	0.1555583944	2361.0474515307
rna9155	3900	21549.5410007426	6.9242	0.0199887401	1.253130171
rna9160	3901	13428.1954301651	47.9549	0.0246921341	13.9312885244
rna9173	3902	44137.8268838064	27.4459	0.0164102362	2.426351938
rna9178	3903	194890.3290437	24.1374	0.019400501	0.4833912112
rna9181	3904	82409.1652283058	9.40931	0.0188496013	0.4457507383
rna9188	3905	103471.566221677	21.3776	0.0288678551	0.8067871305
rna9189	3906	76031.4605873156	34.7155	0.0121269035	1.7834557163
rna9199	3907	7487.3707575553	22.3965	0.0168952359	11.686762728
rna9200	3908	1530.7279974049	5.12312	0.043279648	13.0794974639
rna9203	3909	21913.9645483541	19.6962	0.0476257095	3.5133964751
rna9208	3910	12049.3964436236	36.9155	0.0544780946	11.9789904561
rna9216	3912	12042.2867844144	33.9063	0.0133154038	11.0146393268
rna9243	3914	5052.4868706743	14.1875	0.054913946	10.9906025332
rna9244	3915	4500.1595849738	5.22562	0.026092009	4.5461281792
rna9270	3918	83160.0252437948	20.5003	0.0156923471	0.9658507818
rna9275	3920	47430.218388939	22.3217	0.0171776123	1.8448378897
rna9277	3921	17127.8779024685	62.7903	0.100491692	14.3742714481
rna9292	3922	423700.733708625	394877	0.0253481427	3655.1921457494
rna9294	3923	81151.9347094995	41.4642	0.0328583699	2.00443843
rna9304	3924	170871.479171295	50162	0.0191000581	1151.9516829528
rna9306	3926	134404.590859906	118331	0.0157238516	3456.4853999982
rna9308	3927	87089.6809135904	89.9482	0.0154212312	4.0558947707
rna9312	3928	9709.798891048	36948	0.0471781889	14946.9361444555
rna9315	3929	13953.918649862	123.13	0.021123215	34.6696710895
rna9319	3930	126947.71797519	48021	0.0618041774	1486.616167743
rna9323	3931	13368.8003775637	9.69902	0.0140223564	2.851927364
rna9326	3932	7809.2257804703	11.8984	0.0239478616	5.9909279249
rna9340	3933	23438.0234193081	11.2876	0.0203199741	1.8941072805
rna9392	3938	44207.9532974855	33.7943	0.0181707083	3.0103622419
rna9419	3941	21412.9825754842	4.97214	0.0318068668	0.9151085642
rna9425	3942	21382.4728366352	13.1052	0.0231702123	2.4160301194
rna9434	3944	10214.8491435076	24.3024	0.0473829769	9.3832678538
rna9444	3945	4714.210750103	7.79628	0.045812973	6.5241725986
rna9450	3946	764404.825805992	74.5407	0.0154971763	0.3847929687
rna9453	3947	475720.506699539	59127	0.0167691024	490.5701261842
rna9458	3948	6454.5936935423	4.66634	0.0187513076	2.8542013943
rna9465	3949	63049.1473230429	33.7336	0.0249195563	2.1128594447
rna9473	3951	7797.4384514997	28.7254	0.0286241824	14.5552999368
rna9474	3952	60207.0636224295	19.6834	0.0193436288	1.2920211038
rna9482	3953	11802.7855712009	17.8081	0.027166779	5.9643055341
rna9483	3954	17913.3624755796	13383	0.0202130301	2954.0172634891
rna9516	3956	51343.6395573408	21.0395	0.0187330547	1.6210822356
rna9521	3957	40182.3759314438	13264	0.0158816059	1306.1857787988
rna9525	3958	5246.3062469007	42.1148	0.0977375459	31.772902792
rna9529	3959	3182.2302938092	9.48491	0.0210714707	11.8001386521
rna9532	3961	184279.878633734	580168	0.0463843689	12470.408950982
rna9538	3962	87145.0987211583	8.30731	0.0208988692	0.3776869004
rna9543	3963	20933.3071412388	22.1338	0.0244053488	4.190271934
rna9544	3964	1371.8575944312	5.94126	0.038737116	17.1673464765
rna9548	3965	4926.8445515961	13.2976	0.0220604841	10.7015724665
rna9549	3966	531028.442299892	129866	0.0171342285	969.9076640214
rna9552	3967	89611.7386956838	134418	0.1842070281	5950.5173514247
rna9554	3968	117298.523544022	132704	0.1266400516	4489.1398125943
rna9556	3969	25242.1310248823	11.4385	0.0278649367	1.7985568039
rna9574	3970	2820.3405603481	0.815407	0.0401628236	1.1477925168
rna9616	3972	11099.9237501624	2.40329	0.0439049146	0.8599940049
rna9618	3973	950828.482834765	94.0745	0.0149634738	0.3930866557
rna9622	3975	216853.643538515	100509	0.0168355969	1842.3636720175
rna9623	3976	24292.5131664445	19.7444	0.0129144904	3.231602011
rna9625	3977	33953.2066988908	46.0005	0.0239909955	5.3881210727
rna9628	3978	1082037.7339317	169092	0.0154018226	621.6492779377
rna9631	3979	198118.176094711	75.3524	0.0380638058	1.5133755292
rna9633	3980	12262.4996914237	14.2609	0.028025147	4.6286143469
rna9642	3981	4272.9697636723	24.8607	0.0227275053	23.1619815196
rna9666	3983	584544.003686024	209263	0.0113115882	1425.8884254122
rna9679	3985	297938.395275577	58.73	0.0253806613	0.7855283297
rna9680	3986	11926.2728653245	36.5481	0.0295732403	12.2151093007
rna9683	3987	71447.8494026494	60.1181	0.0217063641	3.3547666823
rna9688	3988	8700.7981807413	3.88884	0.0212438648	1.7824449663
rna9693	3989	368148.321354611	118.25	0.0218956633	1.281275026
rna9696	3990	1339571.38647891	414421	0.0271523399	1234.3797476493
rna9703	3991	23954.6594378916	16.1788	0.0280335678	2.6954919133
rna9705	3992	241811.305214064	36.9612	0.0256527185	0.610182846
rna9708	3993	282089.819513176	97.8611	0.0144009569	1.3852303248
rna9717	3994	114168.133752545	204107	0.043410901	7140.3756127513
rna9751	3995	85669.4216198637	62.9632	0.0879873048	2.9361466349
rna9753	3996	62592.4443921146	72.4114	0.0225336004	4.6228575543
rna9755	3997	3968.0497078055	12.9508	0.0177232615	13.0452870835
rna9759	3999	21515.7081556075	148413	0.0325865983	27584.6643163041
rna9795	4000	6172.9005061942	14.4879	0.0131159313	9.3880664271
rna9804	4001	2304.5208854056	4.28542	0.0250097091	7.4401432109
rna9818	4003	54975.2299352604	29.8772	0.0625588115	2.1754967053
rna9839	4005	410879.922766932	48.0712	0.0174605098	0.4685679327
rna9840	4006	15355.170261648	36.6377	0.0212953853	9.558384811
rna9844	4007	77645.7323358041	66.5106	0.0289265063	3.4323583046
rna9853	4009	721.738205954	4.98515	0.0368965907	27.6907418578
rna9858	4010	4320.1419238727	12.1365	0.0684844764	11.2652236564
rna9862	4011	10079.1305839172	0.698182	0.0253978211	0.2778422185
rna9873	4013	280701.944908979	12.6724	0.0265184037	0.1811684676
rna9876	4014	16078.5393365357	7.25588	0.0174198441	1.8114271272
rna9878	4015	4317.9989051304	12.5029	0.0215725545	11.6255572553
rna9896	4016	480987.787778495	106888	0.0149868507	892.4596817366
rna9898	4017	9945.1406403953	20.8812	0.0323149174	8.4342477832
rna9900	4018	4056.3885050153	8.73676	0.0293328137	8.6540777927
rna9907	4019	234776.495184832	225685	0.0235471308	3863.368069644
rna9910	4020	407703.944090445	88.5413	0.0158733204	0.8730257118
rna9923	4021	9894.3007075804	57904	0.0169499821	23531.9292268548
rna9924	4022	298654.153652211	167634	0.0253608054	2257.5408369681
rna9929	4024	1187757.45883961	169495	0.0132124412	574.2316117857
rna9938	4026	159391.849076256	76.4693	0.0248795044	1.9315002843
rna9950	4027	18187.2370641475	8.1704	0.0215843094	1.8090818679
rna9991	4030	40932.8675404536	35.9389	0.0291559896	3.5383244738
rna10001	4031	45398.9055109618	20.3406	0.0202842473	1.8060558438
rna10004	4032	408368.411174135	278818	0.0081501422	2752.8921073198
rna10005	4033	8563.53486271	9.11056	0.0299299282	4.2906216964
rna10008	4034	247522.31641526	66.6241	0.0209239792	1.0858076285
rna10016	4035	42175.1500496468	47.1555	0.0138361025	4.5114822894
rna10032	4036	44670.031646319	11.8336	0.0295249352	1.0691823542
rna10033	4037	7840.7557232467	26024	0.0374440676	13399.0767865037
rna10035	4038	45720.7924081765	15.5622	0.0201087597	1.3744329503
rna10042	4039	22443.9486025332	55.4991	0.0421921825	9.9875859132
rna10050	4040	3161153.95276591	529.21	0.0252183412	0.676337955
rna10071	4041	721.4510573442	8.40175	0.0371317492	47.0599791966
rna10085	4043	18695.9941734816	14.4438	0.0419969576	3.1234649978
rna10087	4044	744367.096657666	271.32	0.0126848031	1.4740281844
